factor,yes_decisions,yes_hits,yes_hit_rate,no_decisions,no_hits,no_hit_rate,edge
500-AB batting average at least .275,142,111,0.7816901408450704,111,66,0.5945945945945946,0.18709554625047575
Starter Stuff+ at most 100,175,130,0.7428571428571429,78,47,0.6025641025641025,0.14029304029304035
Batting in top five,235,166,0.7063829787234043,18,11,0.6111111111111112,0.09527186761229312
Expected PA at least 4.2,240,169,0.7041666666666667,13,8,0.6153846153846154,0.0887820512820513
Pitch-type matchup xBA at least .300,223,154,0.6905829596412556,30,23,0.7666666666666667,-0.07608370702541112
H2H xBA at least .275,151,102,0.6754966887417219,102,75,0.7352941176470589,-0.05979742890533701
Four or fewer stop valves,143,103,0.7202797202797203,110,74,0.6727272727272727,0.047552447552447585
500-PA K rate at most 20%,162,115,0.7098765432098766,91,62,0.6813186813186813,0.028557861891195246
Starter season H/IP at least 1.00,200,139,0.695,53,38,0.7169811320754716,-0.0219811320754717
Season PA/game at least 4.2,215,151,0.7023255813953488,38,26,0.6842105263157895,0.01811505507955935
Confirmed official lineup,10,7,0.7,243,170,0.6995884773662552,0.0004115226337447764
